,Carimbo de data/hora,Endereço de e-mail,Qual é a sua idade?,Gênero,Quais plataformas de mídia social você costuma usar?,Cidade onde Mora,Sexo,Está empregado,Qual sua renda mensal bruta para custo de vida,Você têm religião?,Qual sua religião?,Qual é o tempo médio que você passa nas redes sociais todos os dias em horas?,"Numa escala de 1 a 5, quão facilmente você se distrai?  (Sendo 1 pouco e 5 muito)  ",Você acha difícil se concentrar nas coisas?    ,Pratica esporte com que frequência mensal?,Com que frequência você se distrai com as redes sociais quando está ocupado fazendo alguma coisa?,Com que frequência você se sente deprimido ou está deprimido?    ,Com que frequência você usa mídias sociais sem um propósito específico?,"Numa escala de 1 a 5, com que frequência você se compara a outras pessoas de sucesso através do uso das redes sociais?",Como você se sente quando vê publicações de pessoas mostrando vidas aparentemente perfeitas?,"Como você se sente ao receber poucos ""likes"" em suas postagens?",Você sente que o uso das redes sociais impacta seu humor de forma positiva ou negativa?,Dificuldade para dormir,Qual o impacto que você acredita que as redes sociais causam em você? (sendo 1 muito negativo e 5 muito positivo ),Você acha que passa mais tempo nas redes sociais do que gostaria? ,Como você reage quando vê comentários negativos ou críticas em suas postagens?,"Com que frequência você busca validação por meio de ""curtidas"" ou outros recursos das redes sociais?",Com que frequência você usa mídias sociais sem um propósito específico? ,Você já experimentou sentimentos de inveja ou inferioridade ao se comparar com outras pessoas nas redes? (Ex.: Aquele momento em que você abre a rede social do amigo e pensa dei errado para caramba),Já foi diagnosticado por um profissional com algum dos itens: [Nenhum],Já foi diagnosticado por um profissional com algum dos itens: [Depressão],Já foi diagnosticado por um profissional com algum dos itens: [Ansiedade],Já foi diagnosticado por um profissional com algum dos itens: [Estresse],Já foi diagnosticado por um profissional com algum dos itens: [TDAH],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno Bipolar],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno de ansiedade social :],"Já foi diagnosticado por um profissional com algum dos itens: [Fobia de Perda de Conexão ( Ansiedade relacionada à ausência de acesso ao celular ou redes sociais, causando angústia e desconforto.]",Já foi diagnosticado por um profissional com algum dos itens: [Transtorno Obsessivo-Compulsivo (TOC)],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno de Estresse Pós-Traumático (TEPT)],Já foi diagnosticado por um profissional com algum dos itens: [Dislexia]
0,16/11/2024 08:56:56,thomasstewart@example.org,58.0,Masculino,sdv-pii-ik0wi,sdv-pii-dkcsy,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Não,Evangélico,3.0,3.0,1,Até 4 vezes,4,2.0,3.0,1.0,1.0,5.0,Positiva,Nenhuma,4,Não,Indiferente,2.0,0.0,,False,True,False,False,False,False,False,False,False,False,False
1,16/11/2024 14:09:33,phillipslawrence@example.com,41.0,Masculino,sdv-pii-uerud,sdv-pii-jv900,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Não,Evangélico,5.0,2.0,4,Até 4 vezes,2,0.0,3.0,1.0,5.0,3.0,Positiva,Nenhuma,3,Sim,Indiferente,1.0,1.0,,False,True,False,False,True,False,False,False,False,False,False
2,16/11/2024 08:56:56,markbeck@example.net,57.0,Feminino,sdv-pii-is7x6,sdv-pii-tibiq,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,4.0,2.0,1,Até 8 vezes,1,0.0,1.0,1.0,3.0,3.0,Negativa,Nenhuma,3,Não,Triste,3.0,3.0,,True,True,False,False,True,False,True,False,False,False,False
3,16/11/2024 08:56:56,david08@example.org,31.0,Masculino,sdv-pii-276ja,sdv-pii-zn9af,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Não,Católico,5.0,3.0,2,Nenhuma,5,1.0,2.0,4.0,3.0,3.0,Positiva,Nenhuma,3,Não,Indiferente,0.0,1.0,,False,True,True,True,False,False,False,False,False,False,False
4,16/11/2024 08:56:56,brent37@example.org,22.0,Feminino,sdv-pii-d6xvk,sdv-pii-hcvxi,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Evangélico,6.0,1.0,2,Até 4 vezes,4,1.0,1.0,1.0,4.0,5.0,Positiva,Nenhuma,4,Sim,Penso sobre a critica,0.0,1.0,Sim,False,True,True,False,False,False,False,False,False,False,False
5,16/11/2024 19:07:32,sandrajohnson@example.net,60.0,Feminino,sdv-pii-irsid,sdv-pii-z7aci,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,5.0,5.0,2,Todos os dias,3,2.0,2.0,5.0,4.0,3.0,Positiva,Nenhuma,3,Sim,Indiferente,0.0,2.0,,False,False,True,False,False,False,False,False,False,False,False
6,16/11/2024 18:09:23,samuel66@example.com,60.0,Masculino,sdv-pii-l7p03,sdv-pii-vvc3f,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,3.0,3.0,3,Até 8 vezes,1,1.0,1.0,,4.0,4.0,Positiva,As vezes,3,Sim,Triste,0.0,1.0,,True,False,True,False,True,False,True,False,False,False,False
7,16/11/2024 09:14:35,rmitchell@example.net,41.0,Masculino,sdv-pii-dhx9f,sdv-pii-v8ebc,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Católico,3.0,1.0,3,Todos os dias,1,,4.0,1.0,3.0,5.0,,Nenhuma,3,Sim,Triste,2.0,3.0,Não,False,False,True,False,False,False,False,False,False,False,False
8,16/11/2024 08:56:56,sharonscott@example.com,20.0,Feminino,sdv-pii-13fdr,sdv-pii-s1l21,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,4.0,4.0,4,Nenhuma,5,0.0,1.0,2.0,5.0,4.0,Positiva,Nenhuma,2,Não,Indiferente,0.0,1.0,,False,False,False,False,False,False,False,False,False,False,False
9,16/11/2024 08:56:56,evillanueva@example.org,35.0,Masculino,sdv-pii-84nnm,sdv-pii-cly5o,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Católico,2.0,1.0,1,Até 4 vezes,3,0.0,4.0,1.0,3.0,5.0,Positiva,Nenhuma,3,Não,Penso sobre a critica,1.0,3.0,,False,False,False,True,True,False,False,False,False,True,False
