,Carimbo de data/hora,Endereço de e-mail,Qual é a sua idade?,Gênero,Quais plataformas de mídia social você costuma usar?,Cidade onde Mora,Sexo,Está empregado,Qual sua renda mensal bruta para custo de vida,Você têm religião?,Qual sua religião?,Qual é o tempo médio que você passa nas redes sociais todos os dias em horas?,"Numa escala de 1 a 5, quão facilmente você se distrai?  (Sendo 1 pouco e 5 muito)  ",Você acha difícil se concentrar nas coisas?    ,Pratica esporte com que frequência mensal?,Com que frequência você se distrai com as redes sociais quando está ocupado fazendo alguma coisa?,Com que frequência você se sente deprimido ou está deprimido?    ,Com que frequência você usa mídias sociais sem um propósito específico?,"Numa escala de 1 a 5, com que frequência você se compara a outras pessoas de sucesso através do uso das redes sociais?",Como você se sente quando vê publicações de pessoas mostrando vidas aparentemente perfeitas?,"Como você se sente ao receber poucos ""likes"" em suas postagens?",Você sente que o uso das redes sociais impacta seu humor de forma positiva ou negativa?,Dificuldade para dormir,Qual o impacto que você acredita que as redes sociais causam em você? (sendo 1 muito negativo e 5 muito positivo ),Você acha que passa mais tempo nas redes sociais do que gostaria? ,Como você reage quando vê comentários negativos ou críticas em suas postagens?,"Com que frequência você busca validação por meio de ""curtidas"" ou outros recursos das redes sociais?",Com que frequência você usa mídias sociais sem um propósito específico? ,Você já experimentou sentimentos de inveja ou inferioridade ao se comparar com outras pessoas nas redes? (Ex.: Aquele momento em que você abre a rede social do amigo e pensa dei errado para caramba),Já foi diagnosticado por um profissional com algum dos itens: [Nenhum],Já foi diagnosticado por um profissional com algum dos itens: [Depressão],Já foi diagnosticado por um profissional com algum dos itens: [Ansiedade],Já foi diagnosticado por um profissional com algum dos itens: [Estresse],Já foi diagnosticado por um profissional com algum dos itens: [TDAH],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno Bipolar],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno de ansiedade social :],"Já foi diagnosticado por um profissional com algum dos itens: [Fobia de Perda de Conexão ( Ansiedade relacionada à ausência de acesso ao celular ou redes sociais, causando angústia e desconforto.]",Já foi diagnosticado por um profissional com algum dos itens: [Transtorno Obsessivo-Compulsivo (TOC)],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno de Estresse Pós-Traumático (TEPT)],Já foi diagnosticado por um profissional com algum dos itens: [Dislexia]
4,2024-11-16 08:56:56,brent37@example.org,22.0,Feminino,sdv-pii-d6xvk,sdv-pii-hcvxi,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Evangélico,6.0,1.0,2,Até 4 vezes,4,1.0,1.0,1.0,4.0,5.0,Positiva,Nenhuma,4,Sim,Penso sobre a critica,0.0,1.0,Sim,False,True,True,False,False,False,False,False,False,False,False
12,2024-11-16 08:56:56,benjamin69@example.org,19.0,Masculino,sdv-pii-mfd8m,sdv-pii-cm6o4,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Católico,2.0,5.0,1,Até 8 vezes,1,3.0,1.0,2.0,2.0,4.0,Positiva,Nenhuma,3,Sim,Indiferente,1.0,4.0,Não,True,False,True,False,False,False,False,False,False,False,False
13,2024-11-16 08:56:56,susangarcia@example.net,43.0,Masculino,sdv-pii-8qjbf,sdv-pii-l2ftv,Cisgênero (é o sexo que nasceu),Não,Atè 10 mil,Sim,Evangélico,2.0,3.0,2,Até 4 vezes,3,0.0,2.0,1.0,4.0,3.0,Positiva,Nenhuma,3,Sim,Ansioso,0.0,5.0,Não,False,True,True,False,False,True,False,False,False,False,False
33,2024-11-16 08:56:56,johnrobinson@example.com,35.0,Feminino,sdv-pii-pg2zq,sdv-pii-0d922,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,4.0,2.0,1,Até 4 vezes,3,0.0,5.0,2.0,2.0,1.0,Negativa,Nenhuma,3,Não,Indiferente,0.0,3.0,Não,True,False,True,True,False,False,False,False,False,False,False
36,2024-11-16 13:46:40,crystalolson@example.net,34.0,Masculino,sdv-pii-behyd,sdv-pii-rjcre,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Católico,3.0,4.0,3,Até 4 vezes,4,0.0,4.0,1.0,2.0,5.0,Negativa,Nenhuma,3,Sim,Indiferente,2.0,1.0,Não,False,False,False,False,False,True,False,False,False,False,False
40,2024-11-18 21:19:23,twilliams@example.org,53.0,Feminino,sdv-pii-8ihxd,sdv-pii-x11xl,Cisgênero (é o sexo que nasceu),Não,Atè 10 mil,Sim,Evangélico,1.0,1.0,3,Até 4 vezes,2,0.0,5.0,3.0,2.0,3.0,Negativa,Nenhuma,3,Sim,Triste,3.0,3.0,Sim,True,True,False,False,False,False,False,False,False,False,True
43,2024-11-17 10:42:40,fsparks@example.org,40.0,Masculino,sdv-pii-yexih,sdv-pii-lmn8c,Cisgênero (é o sexo que nasceu),Não,Até 5 mil,Sim,Católico,4.0,1.0,3,Até 4 vezes,3,2.0,1.0,2.0,3.0,5.0,Negativa,Nenhuma,3,Não,Indiferente,0.0,1.0,Não,False,True,True,False,False,False,False,False,False,False,False
46,2024-11-16 08:56:56,hollyjohnson@example.org,38.0,Feminino,sdv-pii-rvaxv,sdv-pii-11alg,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Católico,3.0,3.0,4,Até 8 vezes,1,1.0,3.0,1.0,4.0,2.0,Positiva,Nenhuma,3,Sim,Triste,0.0,2.0,Sim,False,False,False,False,True,False,False,False,False,False,False
49,2024-11-16 13:53:19,floresjames@example.com,19.0,Masculino,sdv-pii-psmpx,sdv-pii-lwegs,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,1.0,4.0,2,Até 8 vezes,2,2.0,0.0,2.0,4.0,5.0,Negativa,Nenhuma,3,Não,Indiferente,0.0,1.0,Não,False,False,False,False,False,False,False,False,False,False,False
51,2024-11-16 12:07:47,lauraguerra@example.org,57.0,Masculino,sdv-pii-k2x5v,sdv-pii-1ijut,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,1.0,3.0,1,Até 4 vezes,3,1.0,2.0,2.0,5.0,5.0,Positiva,Nenhuma,3,Não,Indiferente,2.0,2.0,Não,False,False,True,False,False,False,False,False,False,False,False
