Carimbo de data/hora,Endereço de e-mail,Qual é a sua idade?,Gênero,Quais plataformas de mídia social você costuma usar?,Cidade onde Mora,Sexo,Está empregado,Qual sua renda mensal bruta para custo de vida,Você têm religião?,Qual sua religião?,Qual é o tempo médio que você passa nas redes sociais todos os dias em horas?,"Numa escala de 1 a 5, quão facilmente você se distrai?  (Sendo 1 pouco e 5 muito)  ",Você acha difícil se concentrar nas coisas?    ,Pratica esporte com que frequência mensal?,Com que frequência você se distrai com as redes sociais quando está ocupado fazendo alguma coisa?,Com que frequência você se sente deprimido ou está deprimido?    ,Com que frequência você usa mídias sociais sem um propósito específico?,"Numa escala de 1 a 5, com que frequência você se compara a outras pessoas de sucesso através do uso das redes sociais?",Como você se sente quando vê publicações de pessoas mostrando vidas aparentemente perfeitas?,"Como você se sente ao receber poucos ""likes"" em suas postagens?",Você sente que o uso das redes sociais impacta seu humor de forma positiva ou negativa?,Dificuldade para dormir,Qual o impacto que você acredita que as redes sociais causam em você? (sendo 1 muito negativo e 5 muito positivo ),Você acha que passa mais tempo nas redes sociais do que gostaria? ,Como você reage quando vê comentários negativos ou críticas em suas postagens?,"Com que frequência você busca validação por meio de ""curtidas"" ou outros recursos das redes sociais?",Com que frequência você usa mídias sociais sem um propósito específico? ,Você já experimentou sentimentos de inveja ou inferioridade ao se comparar com outras pessoas nas redes? (Ex.: Aquele momento em que você abre a rede social do amigo e pensa dei errado para caramba),Já foi diagnosticado por um profissional com algum dos itens: [Nenhum],Já foi diagnosticado por um profissional com algum dos itens: [Depressão],Já foi diagnosticado por um profissional com algum dos itens: [Ansiedade],Já foi diagnosticado por um profissional com algum dos itens: [Estresse],Já foi diagnosticado por um profissional com algum dos itens: [TDAH],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno Bipolar],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno de ansiedade social :],"Já foi diagnosticado por um profissional com algum dos itens: [Fobia de Perda de Conexão ( Ansiedade relacionada à ausência de acesso ao celular ou redes sociais, causando angústia e desconforto.]",Já foi diagnosticado por um profissional com algum dos itens: [Transtorno Obsessivo-Compulsivo (TOC)],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno de Estresse Pós-Traumático (TEPT)],Já foi diagnosticado por um profissional com algum dos itens: [Dislexia]
2024-11-16 21:41:01,rickeyjones@example.com,43.0,Masculino,sdv-pii-s49tz,sdv-pii-8wftn,Cisgênero (é o sexo que nasceu),Não,Até 5 mil,Sim,Católico,3.0,1.0,4,Todos os dias,3,3.0,0.0,1.0,4.0,1.0,Positiva,Nenhuma,4,Não,Ansioso,2.0,,,False,False,True,False,False,False,False,False,False,False,False
2024-11-16 08:56:56,sgreen@example.net,58.0,Masculino,sdv-pii-ltqkx,sdv-pii-vokfp,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Não,Outros,3.0,3.0,4,Nenhuma,5,0.0,1.0,1.0,3.0,4.0,,Nenhuma,4,Não,Indiferente,0.0,1.0,,True,False,False,True,False,False,False,False,False,False,False
2024-11-16 08:56:56,anthony97@example.org,36.0,Masculino,sdv-pii-u5og1,sdv-pii-rbot9,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,,Evangélico,6.0,3.0,1,Até 4 vezes,2,1.0,2.0,2.0,3.0,3.0,Negativa,Nenhuma,3,Sim,Indiferente,3.0,5.0,Não,True,True,False,False,False,False,False,False,False,False,False
2024-11-16 21:18:12,david18@example.com,60.0,Masculino,sdv-pii-rn7ss,sdv-pii-qztag,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Católico,1.0,3.0,1,Até 4 vezes,2,2.0,1.0,1.0,4.0,4.0,Positiva,Muita,3,Não,Penso sobre a critica,0.0,1.0,,False,False,True,False,False,False,False,False,False,False,False
2024-11-16 08:56:56,courtney10@example.net,29.0,Masculino,sdv-pii-xpunx,sdv-pii-2ttaa,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Católico,1.0,4.0,1,Nenhuma,3,2.0,2.0,1.0,3.0,5.0,Positiva,Nenhuma,1,Sim,Penso sobre a critica,0.0,3.0,,True,False,True,False,False,False,False,False,False,False,False
2024-11-16 11:02:08,jason18@example.org,47.0,Masculino,sdv-pii-rh0wq,sdv-pii-oyibt,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,5.0,2.0,5,Até 4 vezes,3,2.0,3.0,1.0,3.0,5.0,Positiva,Nenhuma,3,Não,Indiferente,0.0,3.0,Não,True,False,True,False,False,True,True,False,True,False,True
2024-11-16 08:56:56,michael66@example.net,59.0,Masculino,sdv-pii-0x02n,sdv-pii-qwiub,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Católico,3.0,3.0,1,Todos os dias,1,1.0,0.0,1.0,5.0,5.0,Positiva,Nenhuma,3,Não,Indiferente,1.0,4.0,Sim,False,False,False,False,False,False,False,False,False,False,False
2024-11-16 12:35:45,sandrathomas@example.net,37.0,Masculino,sdv-pii-8958m,sdv-pii-odswd,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Católico,2.0,3.0,2,Até 4 vezes,1,0.0,0.0,3.0,5.0,2.0,Positiva,Nenhuma,3,Sim,Indiferente,0.0,0.0,,True,False,True,False,False,False,False,False,False,False,False
2024-11-16 08:56:56,nallen@example.org,60.0,Masculino,sdv-pii-kghfo,sdv-pii-3kgpb,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,2.0,3.0,3,Até 4 vezes,1,2.0,1.0,1.0,3.0,3.0,Positiva,Nenhuma,4,Não,Indiferente,1.0,0.0,Não,False,False,True,False,False,False,False,False,False,False,False
2024-11-16 08:56:56,linda69@example.com,60.0,Masculino,sdv-pii-pfrho,sdv-pii-izi3l,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,4.0,3.0,1,Até 4 vezes,2,2.0,0.0,4.0,5.0,5.0,Positiva,As vezes,1,Sim,Ansioso,3.0,3.0,,True,True,True,False,False,False,False,False,False,False,False
2024-11-17 14:11:18,tinajackson@example.org,48.0,Masculino,sdv-pii-egztu,sdv-pii-zeduo,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,2.0,5.0,3,Até 8 vezes,2,2.0,2.0,,3.0,3.0,Negativa,Nenhuma,3,Não,Indiferente,2.0,1.0,,True,False,False,False,False,False,False,False,False,False,False
2024-11-16 08:56:56,alexisguerrero@example.org,60.0,Masculino,sdv-pii-hdqo9,sdv-pii-bu44v,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Católico,6.0,3.0,3,Nenhuma,1,0.0,5.0,3.0,4.0,5.0,Negativa,Nenhuma,3,Não,,2.0,1.0,,False,False,False,False,False,False,False,False,False,False,False
2024-11-16 08:56:56,gknapp@example.org,60.0,Masculino,sdv-pii-l9byq,sdv-pii-u7tvo,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Não,Evangélico,3.0,2.0,2,Até 4 vezes,3,1.0,2.0,1.0,4.0,2.0,Positiva,Nenhuma,3,Sim,Indiferente,0.0,1.0,,True,False,True,False,False,False,False,False,False,False,False
2024-11-16 15:29:18,thomas70@example.net,50.0,Masculino,sdv-pii-zr7rj,sdv-pii-61tlr,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,5.0,2.0,3,Até 4 vezes,3,0.0,1.0,2.0,1.0,3.0,Positiva,Nenhuma,3,Sim,Indiferente,0.0,1.0,,False,False,False,False,False,False,False,False,False,False,False
2024-11-16 08:56:56,garyday@example.net,60.0,Masculino,sdv-pii-ykcxq,sdv-pii-02fu3,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,,5.0,2.0,3,Nenhuma,1,0.0,1.0,1.0,4.0,2.0,Negativa,Muita,3,Não,Indiferente,1.0,1.0,,True,True,True,False,False,False,False,False,False,False,False
